District,Ward,House_type,Legal,Floors,Bedrooms,Area,Price_per_m2,Total_Price_Billion
Nam Từ Liêm,Cầu Diễn,"Nhà mặt phố, mặt tiền",Đã có sổ,3.0,3.0,35.0,41.71,1.45985
Hà Đông,Dương Nội,"Nhà ngõ, hẻm",Đã có sổ,3.0,3.0,33.0,31.82,1.05006
Thanh Xuân,Nhân Chính,"Nhà mặt phố, mặt tiền",Đã có sổ,7.0,6.0,65.0,181.54,11.8001
Hai Bà Trưng,Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,24.0,77.08,1.84992
Hoàng Mai,Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,6.0,67.0,111.94,7.49998
Hà Đông,Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,32.0,53.13,1.7001600000000001
Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,33.0,81.82,2.70006
Huyện Gia Lâm,Cổ Bi,"Nhà ngõ, hẻm",Đã có sổ,2.0,3.0,44.0,35.23,1.55012
Hà Đông,Biên Giang,"Nhà mặt phố, mặt tiền",Đã có sổ,3.0,4.0,110.0,31.82,3.5002
Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,35.0,94.29,3.30015
Cầu Giấy,Quan Hoa,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,4.0,41.0,112.2,4.6002
Huyện Thanh Trì,Tam Hiệp,"Nhà ngõ, hẻm",Đã có sổ,3.0,3.0,42.0,38.1,1.6002
Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,35.0,95.71,3.34985
Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,35.0,41.43,1.45005
Đống Đa,Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,2.0,1.0,20.0,70.0,1.4
Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,31.0,72.26,2.24006
Đống Đa,Trung Phụng,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,25.0,100.0,2.5
Long Biên,Bồ Đề,"Nhà mặt phố, mặt tiền",Đã có sổ,4.0,2.0,50.0,80.0,4.0
