District,Ward,House_type,Legal,Floors,Bedrooms,Area,Price_per_m2,Total_Price_Billion
8,37,0,0,5.0,2.0,11.0,122.73,1.35003
3,124,1,0,5.0,5.0,75.0,146.67,11.000249999999998
1,1,0,0,5.0,3.0,73.0,47.95,3.5003500000000005
8,59,1,0,4.0,4.0,45.0,77.78,3.5000999999999998
3,124,0,0,5.0,4.0,39.0,111.54,4.35006
10,51,1,0,4.0,4.0,45.0,93.33,4.1998500000000005
3,67,0,0,5.0,4.0,41.0,87.8,3.5997999999999997
8,21,0,0,4.0,3.0,36.0,55.56,2.00016
2,83,0,0,4.0,4.0,36.0,47.78,1.7200799999999998
10,70,0,0,5.0,4.0,35.0,82.86,2.9001
1,63,0,2,5.0,6.0,33.0,90.91,3.0000299999999998
12,125,1,0,7.0,5.0,143.0,272.73,39.000389999999996
8,66,0,0,3.0,2.0,22.0,84.09,1.84998
1,111,0,0,5.0,3.0,45.0,67.78,3.0501
1,82,0,0,5.0,3.0,28.0,105.36,2.95008
8,13,0,0,4.0,4.0,41.0,73.17,2.9999700000000002
3,116,0,0,5.0,3.0,40.0,77.5,3.1
9,26,0,0,6.0,8.0,60.0,208.33,12.4998
11,1,0,0,5.0,3.0,38.0,94.74,3.60012
10,122,0,0,5.0,3.0,35.0,77.14,2.6999
3,38,0,0,4.0,4.0,42.0,66.67,2.80014
3,67,0,0,1.0,1.0,38.0,52.63,1.99994
1,85,0,0,5.0,3.0,49.0,67.35,3.3001499999999995
4,126,0,0,5.0,6.0,40.0,70.0,2.8
